-56.0,-68.0,-75.0,-63.0,-71.0,2
-59.0,-68.0,-75.0,-74.0,-71.0,2
-59.0,-68.0,-66.0,-74.0,-66.0,2
-59.0,-68.0,-72.0,-63.0,-66.0,2
-59.0,-69.0,-72.0,-63.0,-66.0,2
-59.0,-69.0,-76.0,-74.0,-66.0,2
-56.0,-69.0,-76.0,-74.0,-66.0,2
-56.0,-77.0,-76.0,-74.0,-66.0,2
-56.0,-77.0,-76.0,-61.0,-66.0,2
-56.0,-77.0,-72.0,-61.0,-66.0,2
-56.0,-77.0,-66.0,-61.0,-66.0,2
-56.0,-77.0,-66.0,-61.0,-72.0,2
-59.0,-77.0,-66.0,-61.0,-72.0,2
-59.0,-69.0,-66.0,-61.0,-72.0,2
-59.0,-69.0,-75.0,-74.0,-66.0,2
-56.0,-69.0,-72.0,-63.0,-72.0,2
-65.0,-76.0,-72.0,-74.0,-72.0,2
-65.0,-76.0,-72.0,-62.0,-72.0,2
-65.0,-76.0,-72.0,-62.0,-71.0,2
-65.0,-76.0,-73.0,-62.0,-71.0,2
-65.0,-76.0,-66.0,-62.0,-71.0,2
-59.0,-76.0,-66.0,-62.0,-71.0,2
-59.0,-69.0,-66.0,-62.0,-71.0,2
-59.0,-69.0,-66.0,-73.0,-71.0,2
-65.0,-69.0,-75.0,-73.0,-66.0,2
-65.0,-76.0,-75.0,-73.0,-66.0,2
-65.0,-76.0,-75.0,-64.0,-66.0,2
-65.0,-76.0,-75.0,-64.0,-71.0,2
-65.0,-76.0,-66.0,-64.0,-71.0,2
-59.0,-76.0,-66.0,-64.0,-71.0,2
-65.0,-68.0,-75.0,-63.0,-66.0,2
-59.0,-68.0,-66.0,-74.0,-72.0,2
-59.0,-68.0,-75.0,-74.0,-72.0,2
-56.0,-76.0,-75.0,-74.0,-71.0,2
-59.0,-76.0,-66.0,-74.0,-71.0,2
-65.0,-77.0,-75.0,-73.0,-71.0,2
-65.0,-77.0,-75.0,-63.0,-71.0,2
-65.0,-77.0,-66.0,-63.0,-71.0,2
-65.0,-77.0,-66.0,-63.0,-66.0,2
-55.0,-77.0,-66.0,-74.0,-71.0,2
-55.0,-77.0,-66.0,-63.0,-71.0,2
-56.0,-77.0,-66.0,-63.0,-71.0,2
-56.0,-77.0,-66.0,-63.0,-68.0,2
-56.0,-77.0,-66.0,-74.0,-68.0,2
-56.0,-77.0,-71.0,-74.0,-68.0,2
-56.0,-76.0,-71.0,-74.0,-68.0,2
-65.0,-76.0,-71.0,-74.0,-68.0,2
-65.0,-76.0,-71.0,-74.0,-72.0,2
-65.0,-76.0,-67.0,-74.0,-72.0,2
-57.0,-76.0,-67.0,-74.0,-72.0,2
-57.0,-69.0,-67.0,-74.0,-72.0,2
-57.0,-69.0,-67.0,-74.0,-66.0,2
-57.0,-69.0,-67.0,-73.0,-66.0,2
-56.0,-69.0,-67.0,-73.0,-66.0,2
-59.0,-69.0,-67.0,-74.0,-66.0,2
-59.0,-69.0,-67.0,-63.0,-66.0,2
-59.0,-69.0,-73.0,-63.0,-66.0,2
-59.0,-76.0,-73.0,-63.0,-71.0,2
-59.0,-76.0,-73.0,-74.0,-71.0,2
-59.0,-76.0,-73.0,-74.0,-65.0,2
-59.0,-76.0,-73.0,-63.0,-65.0,2
-59.0,-77.0,-73.0,-63.0,-65.0,2
-59.0,-77.0,-73.0,-72.0,-65.0,2
-59.0,-77.0,-66.0,-72.0,-65.0,2
-58.0,-77.0,-66.0,-72.0,-65.0,2
-58.0,-77.0,-66.0,-63.0,-65.0,2
-58.0,-77.0,-75.0,-63.0,-65.0,2
-65.0,-77.0,-75.0,-63.0,-65.0,2
-65.0,-77.0,-75.0,-73.0,-65.0,2
-65.0,-77.0,-66.0,-73.0,-65.0,2
-65.0,-68.0,-66.0,-73.0,-65.0,2
-65.0,-68.0,-66.0,-63.0,-65.0,2
-65.0,-68.0,-72.0,-63.0,-65.0,2
-65.0,-68.0,-72.0,-73.0,-71.0,2
-65.0,-68.0,-66.0,-73.0,-71.0,2
-58.0,-68.0,-66.0,-73.0,-71.0,2
-58.0,-68.0,-73.0,-73.0,-71.0,2
-58.0,-68.0,-75.0,-73.0,-65.0,2
-56.0,-68.0,-75.0,-73.0,-65.0,2
-56.0,-68.0,-75.0,-73.0,-71.0,2
-56.0,-76.0,-73.0,-73.0,-71.0,2
-59.0,-76.0,-73.0,-73.0,-71.0,2
-59.0,-76.0,-73.0,-73.0,-66.0,2
-59.0,-69.0,-73.0,-73.0,-66.0,2
-59.0,-69.0,-75.0,-63.0,-66.0,2
-65.0,-69.0,-66.0,-73.0,-71.0,2
-59.0,-69.0,-66.0,-73.0,-65.0,2
-59.0,-69.0,-73.0,-74.0,-66.0,2
-59.0,-68.0,-73.0,-74.0,-66.0,2
-59.0,-68.0,-76.0,-74.0,-66.0,2
-56.0,-68.0,-76.0,-74.0,-66.0,2
-56.0,-68.0,-76.0,-74.0,-72.0,2
-56.0,-68.0,-66.0,-74.0,-72.0,2
-56.0,-69.0,-66.0,-64.0,-71.0,2
-65.0,-76.0,-66.0,-63.0,-71.0,2
-56.0,-69.0,-72.0,-74.0,-66.0,2
-59.0,-69.0,-72.0,-74.0,-70.0,2
-59.0,-76.0,-72.0,-74.0,-70.0,2
-65.0,-76.0,-72.0,-74.0,-70.0,2
-59.0,-76.0,-75.0,-75.0,-71.0,2
-65.0,-76.0,-75.0,-75.0,-71.0,2
-65.0,-76.0,-66.0,-75.0,-66.0,2
-56.0,-76.0,-66.0,-75.0,-71.0,2
-56.0,-76.0,-76.0,-74.0,-72.0,2
-59.0,-76.0,-76.0,-74.0,-72.0,2
-59.0,-69.0,-76.0,-74.0,-72.0,2
-57.0,-69.0,-72.0,-74.0,-72.0,2
-57.0,-69.0,-72.0,-64.0,-66.0,2
-57.0,-69.0,-76.0,-64.0,-66.0,2
-57.0,-69.0,-76.0,-64.0,-72.0,2
-57.0,-69.0,-76.0,-73.0,-72.0,2
-57.0,-69.0,-76.0,-73.0,-66.0,2
-57.0,-68.0,-76.0,-64.0,-66.0,2
-56.0,-68.0,-76.0,-64.0,-66.0,2
-64.0,-68.0,-76.0,-64.0,-66.0,2
-64.0,-68.0,-76.0,-64.0,-70.0,2
-64.0,-68.0,-76.0,-73.0,-70.0,2
-59.0,-68.0,-76.0,-73.0,-70.0,2
-59.0,-68.0,-72.0,-73.0,-70.0,2
-59.0,-68.0,-72.0,-73.0,-65.0,2
-65.0,-68.0,-72.0,-73.0,-65.0,2
-65.0,-68.0,-76.0,-73.0,-65.0,2
-65.0,-68.0,-76.0,-73.0,-72.0,2
-65.0,-68.0,-76.0,-74.0,-72.0,2
-58.0,-68.0,-76.0,-74.0,-72.0,2
-58.0,-68.0,-73.0,-74.0,-72.0,2
-58.0,-68.0,-73.0,-63.0,-72.0,2
-58.0,-68.0,-73.0,-63.0,-66.0,2
-65.0,-68.0,-73.0,-63.0,-66.0,2
-65.0,-77.0,-66.0,-78.0,-71.0,2
-59.0,-77.0,-66.0,-78.0,-71.0,2
-59.0,-77.0,-76.0,-78.0,-71.0,2
-59.0,-77.0,-76.0,-78.0,-72.0,2
-59.0,-67.0,-76.0,-78.0,-72.0,2
-59.0,-67.0,-76.0,-77.0,-72.0,2
-65.0,-67.0,-76.0,-77.0,-72.0,2
-65.0,-67.0,-66.0,-77.0,-72.0,2
-65.0,-77.0,-66.0,-77.0,-72.0,2
-65.0,-77.0,-66.0,-75.0,-72.0,2
-54.0,-77.0,-66.0,-75.0,-72.0,2
-54.0,-77.0,-73.0,-75.0,-72.0,2
-54.0,-68.0,-73.0,-75.0,-72.0,2
-54.0,-68.0,-73.0,-74.0,-72.0,2
-59.0,-68.0,-73.0,-74.0,-72.0,2
-59.0,-77.0,-66.0,-74.0,-72.0,2
-56.0,-77.0,-66.0,-74.0,-72.0,2
-56.0,-77.0,-74.0,-74.0,-72.0,2
-56.0,-69.0,-74.0,-74.0,-72.0,2
-56.0,-69.0,-74.0,-74.0,-73.0,2
-59.0,-69.0,-74.0,-74.0,-73.0,2
-59.0,-69.0,-67.0,-74.0,-73.0,2
-59.0,-67.0,-67.0,-74.0,-73.0,2
-59.0,-67.0,-67.0,-76.0,-73.0,2
-59.0,-67.0,-67.0,-76.0,-72.0,2
-56.0,-67.0,-67.0,-76.0,-72.0,2
-56.0,-67.0,-74.0,-76.0,-72.0,2
-56.0,-69.0,-74.0,-76.0,-72.0,2
-65.0,-69.0,-74.0,-76.0,-72.0,2
-65.0,-69.0,-67.0,-76.0,-72.0,2
-65.0,-77.0,-67.0,-76.0,-72.0,2
-65.0,-77.0,-67.0,-76.0,-73.0,2
-65.0,-77.0,-67.0,-64.0,-73.0,2
-58.0,-77.0,-67.0,-64.0,-73.0,2
-58.0,-77.0,-74.0,-64.0,-73.0,2
-58.0,-69.0,-74.0,-64.0,-73.0,2
-58.0,-69.0,-74.0,-64.0,-64.0,2
-58.0,-69.0,-74.0,-70.0,-64.0,2
-65.0,-69.0,-74.0,-70.0,-64.0,2
-65.0,-69.0,-73.0,-70.0,-64.0,2
-59.0,-69.0,-73.0,-70.0,-64.0,2
-59.0,-69.0,-73.0,-70.0,-65.0,2
-54.0,-69.0,-73.0,-70.0,-65.0,2
-54.0,-69.0,-72.0,-70.0,-65.0,2
-54.0,-68.0,-72.0,-70.0,-65.0,2
-54.0,-68.0,-72.0,-70.0,-72.0,2
-59.0,-68.0,-72.0,-70.0,-72.0,2
-59.0,-68.0,-67.0,-64.0,-65.0,2
-59.0,-68.0,-67.0,-70.0,-65.0,2
-54.0,-68.0,-67.0,-70.0,-65.0,2
-54.0,-68.0,-74.0,-70.0,-65.0,2
-54.0,-68.0,-74.0,-70.0,-73.0,2
-54.0,-68.0,-74.0,-64.0,-73.0,2
-59.0,-68.0,-74.0,-64.0,-73.0,2
-59.0,-68.0,-67.0,-64.0,-73.0,2
-59.0,-75.0,-67.0,-64.0,-73.0,2
-59.0,-75.0,-67.0,-64.0,-65.0,2
-59.0,-75.0,-74.0,-64.0,-65.0,2
-59.0,-69.0,-74.0,-64.0,-65.0,2
-59.0,-69.0,-74.0,-64.0,-72.0,2
-59.0,-69.0,-66.0,-64.0,-72.0,2
-59.0,-75.0,-66.0,-64.0,-72.0,2
-59.0,-75.0,-66.0,-70.0,-72.0,2
-65.0,-75.0,-66.0,-70.0,-72.0,2
-65.0,-75.0,-73.0,-70.0,-72.0,2
-65.0,-75.0,-73.0,-70.0,-65.0,2
-65.0,-68.0,-73.0,-70.0,-65.0,2
-65.0,-68.0,-73.0,-73.0,-65.0,2
-59.0,-68.0,-73.0,-73.0,-65.0,2
-59.0,-68.0,-67.0,-73.0,-65.0,2
-59.0,-68.0,-67.0,-73.0,-72.0,2
-59.0,-69.0,-67.0,-73.0,-72.0,2
-59.0,-69.0,-67.0,-64.0,-72.0,2
-66.0,-69.0,-67.0,-64.0,-72.0,2
-66.0,-69.0,-73.0,-64.0,-72.0,2
-66.0,-69.0,-73.0,-64.0,-73.0,2
-66.0,-68.0,-73.0,-64.0,-73.0,2
-66.0,-68.0,-73.0,-73.0,-73.0,2
-59.0,-68.0,-73.0,-73.0,-73.0,2
-59.0,-68.0,-73.0,-73.0,-72.0,2
-59.0,-69.0,-73.0,-73.0,-72.0,2
-54.0,-69.0,-73.0,-71.0,-72.0,2
-54.0,-69.0,-72.0,-71.0,-72.0,2
-54.0,-69.0,-72.0,-71.0,-65.0,2
-54.0,-68.0,-72.0,-71.0,-65.0,2
-66.0,-68.0,-72.0,-71.0,-65.0,2
-66.0,-68.0,-72.0,-64.0,-65.0,2
-66.0,-68.0,-72.0,-64.0,-71.0,2
-66.0,-69.0,-72.0,-64.0,-71.0,2
-59.0,-69.0,-72.0,-64.0,-71.0,2
-59.0,-69.0,-73.0,-73.0,-65.0,2
-59.0,-75.0,-73.0,-73.0,-65.0,2
-65.0,-75.0,-73.0,-73.0,-65.0,2
-65.0,-75.0,-73.0,-64.0,-65.0,2
-65.0,-75.0,-73.0,-64.0,-71.0,2
-65.0,-69.0,-73.0,-64.0,-71.0,2
-55.0,-69.0,-73.0,-64.0,-71.0,2
-55.0,-69.0,-73.0,-70.0,-71.0,2
-55.0,-69.0,-67.0,-70.0,-71.0,2
-55.0,-69.0,-67.0,-70.0,-65.0,2
-55.0,-75.0,-67.0,-70.0,-65.0,2
-65.0,-75.0,-67.0,-70.0,-65.0,2
-65.0,-75.0,-75.0,-70.0,-65.0,2
-65.0,-75.0,-75.0,-70.0,-71.0,2
-59.0,-68.0,-73.0,-71.0,-71.0,2
-59.0,-68.0,-73.0,-71.0,-73.0,2
-65.0,-68.0,-73.0,-71.0,-73.0,2
-65.0,-68.0,-73.0,-64.0,-73.0,2
-65.0,-68.0,-73.0,-64.0,-71.0,2
-58.0,-68.0,-73.0,-64.0,-71.0,2
-58.0,-68.0,-73.0,-73.0,-65.0,2
-65.0,-68.0,-73.0,-62.0,-65.0,2
-65.0,-68.0,-66.0,-62.0,-65.0,2
-65.0,-68.0,-66.0,-62.0,-71.0,2
-59.0,-68.0,-66.0,-62.0,-71.0,2
-59.0,-68.0,-66.0,-69.0,-71.0,2
-59.0,-68.0,-75.0,-69.0,-71.0,2
-59.0,-68.0,-75.0,-69.0,-65.0,2
-65.0,-68.0,-75.0,-69.0,-65.0,2
-65.0,-68.0,-73.0,-69.0,-65.0,2
-65.0,-68.0,-73.0,-69.0,-73.0,2
-65.0,-75.0,-73.0,-69.0,-73.0,2
-59.0,-75.0,-73.0,-69.0,-73.0,2
-59.0,-75.0,-73.0,-70.0,-73.0,2
-59.0,-75.0,-75.0,-70.0,-73.0,2
-59.0,-75.0,-75.0,-70.0,-65.0,2
-59.0,-68.0,-75.0,-70.0,-65.0,2
-65.0,-68.0,-75.0,-73.0,-65.0,2
-65.0,-68.0,-66.0,-73.0,-73.0,2
-65.0,-76.0,-66.0,-73.0,-73.0,2
-65.0,-76.0,-66.0,-65.0,-73.0,2
-54.0,-76.0,-66.0,-65.0,-73.0,2
-54.0,-76.0,-75.0,-65.0,-73.0,2
-54.0,-68.0,-75.0,-65.0,-73.0,2
-54.0,-68.0,-75.0,-73.0,-73.0,2
-54.0,-68.0,-73.0,-73.0,-73.0,2
-54.0,-68.0,-73.0,-70.0,-73.0,2
-65.0,-68.0,-73.0,-70.0,-73.0,2
-59.0,-68.0,-73.0,-72.0,-72.0,2
-59.0,-68.0,-73.0,-63.0,-72.0,2
-65.0,-68.0,-73.0,-63.0,-72.0,2
-65.0,-68.0,-66.0,-72.0,-65.0,2
-59.0,-68.0,-66.0,-72.0,-65.0,2
-59.0,-68.0,-75.0,-72.0,-65.0,2
-59.0,-68.0,-75.0,-72.0,-73.0,2
-59.0,-76.0,-75.0,-72.0,-73.0,2
-59.0,-76.0,-75.0,-70.0,-73.0,2
-65.0,-76.0,-75.0,-70.0,-73.0,2
-65.0,-76.0,-66.0,-70.0,-73.0,2
-65.0,-76.0,-66.0,-70.0,-65.0,2
-59.0,-68.0,-75.0,-70.0,-73.0,2
-59.0,-67.0,-75.0,-70.0,-73.0,2
-54.0,-67.0,-75.0,-70.0,-73.0,2
-54.0,-67.0,-66.0,-70.0,-73.0,2
-54.0,-67.0,-66.0,-70.0,-72.0,2
-59.0,-67.0,-66.0,-70.0,-72.0,2
-59.0,-67.0,-66.0,-64.0,-72.0,2
-59.0,-67.0,-73.0,-64.0,-72.0,2
-59.0,-78.0,-73.0,-64.0,-71.0,2
-65.0,-78.0,-73.0,-64.0,-71.0,2
-65.0,-78.0,-73.0,-64.0,-63.0,2
-65.0,-69.0,-73.0,-64.0,-63.0,2
-55.0,-69.0,-73.0,-64.0,-63.0,2
-55.0,-81.0,-73.0,-64.0,-71.0,2
-55.0,-81.0,-73.0,-69.0,-71.0,2
-56.0,-81.0,-73.0,-69.0,-71.0,2
-56.0,-81.0,-76.0,-69.0,-71.0,2
-56.0,-81.0,-76.0,-69.0,-73.0,2
-56.0,-69.0,-76.0,-69.0,-73.0,2
-65.0,-69.0,-76.0,-69.0,-73.0,2
-65.0,-69.0,-76.0,-66.0,-73.0,2
-65.0,-69.0,-73.0,-66.0,-73.0,2
-65.0,-69.0,-73.0,-66.0,-71.0,2
-58.0,-69.0,-73.0,-66.0,-71.0,2
-58.0,-69.0,-73.0,-69.0,-71.0,2
-58.0,-69.0,-73.0,-69.0,-65.0,2
-58.0,-80.0,-73.0,-69.0,-71.0,2
-56.0,-80.0,-73.0,-69.0,-71.0,2
-56.0,-80.0,-73.0,-69.0,-72.0,2
-56.0,-70.0,-73.0,-69.0,-72.0,2
-65.0,-70.0,-73.0,-69.0,-72.0,2
-65.0,-70.0,-73.0,-69.0,-73.0,2
-65.0,-79.0,-73.0,-69.0,-73.0,2
-65.0,-79.0,-73.0,-71.0,-73.0,2
-54.0,-79.0,-73.0,-71.0,-73.0,2
-54.0,-79.0,-77.0,-71.0,-73.0,2
-54.0,-69.0,-77.0,-71.0,-73.0,2
-59.0,-69.0,-77.0,-71.0,-73.0,2
-59.0,-69.0,-77.0,-63.0,-73.0,2
-59.0,-69.0,-73.0,-63.0,-73.0,2
-59.0,-79.0,-73.0,-63.0,-73.0,2
-56.0,-79.0,-73.0,-63.0,-73.0,2
-67.0,-79.0,-73.0,-63.0,-73.0,2
-67.0,-79.0,-73.0,-72.0,-73.0,2
-67.0,-79.0,-73.0,-72.0,-72.0,2
-67.0,-69.0,-73.0,-72.0,-72.0,2
-58.0,-69.0,-73.0,-72.0,-72.0,2
-58.0,-69.0,-73.0,-64.0,-72.0,2
-58.0,-69.0,-72.0,-64.0,-72.0,2
-58.0,-69.0,-72.0,-64.0,-73.0,2
-58.0,-82.0,-72.0,-64.0,-73.0,2
-56.0,-82.0,-72.0,-64.0,-73.0,2
-56.0,-82.0,-72.0,-74.0,-73.0,2
-56.0,-82.0,-72.0,-74.0,-72.0,2
-66.0,-68.0,-72.0,-74.0,-72.0,2
-66.0,-68.0,-72.0,-63.0,-72.0,2
-66.0,-68.0,-72.0,-73.0,-72.0,2
-66.0,-68.0,-70.0,-73.0,-72.0,2
-66.0,-68.0,-70.0,-73.0,-64.0,2
-66.0,-81.0,-70.0,-73.0,-64.0,2
-66.0,-81.0,-70.0,-75.0,-64.0,2
-66.0,-81.0,-66.0,-75.0,-64.0,2
-66.0,-81.0,-66.0,-75.0,-71.0,2
-66.0,-68.0,-66.0,-75.0,-71.0,2
-66.0,-68.0,-66.0,-71.0,-71.0,2
-66.0,-68.0,-75.0,-71.0,-71.0,2
-66.0,-68.0,-75.0,-71.0,-65.0,2
-66.0,-78.0,-75.0,-71.0,-65.0,2
-56.0,-78.0,-75.0,-71.0,-65.0,2
-56.0,-78.0,-66.0,-71.0,-65.0,2
-56.0,-78.0,-66.0,-71.0,-70.0,2
-56.0,-68.0,-66.0,-71.0,-70.0,2
-66.0,-68.0,-66.0,-71.0,-70.0,2
-66.0,-68.0,-66.0,-72.0,-70.0,2
-66.0,-68.0,-78.0,-72.0,-70.0,2
-66.0,-68.0,-78.0,-72.0,-73.0,2
-66.0,-74.0,-78.0,-72.0,-73.0,2
-58.0,-74.0,-78.0,-72.0,-73.0,2
-58.0,-74.0,-67.0,-72.0,-73.0,2
-58.0,-74.0,-67.0,-72.0,-71.0,2
-58.0,-66.0,-67.0,-72.0,-71.0,2
-56.0,-66.0,-67.0,-72.0,-71.0,2
-56.0,-66.0,-67.0,-71.0,-71.0,2
-56.0,-66.0,-76.0,-71.0,-71.0,2
-56.0,-71.0,-76.0,-71.0,-71.0,2
-56.0,-71.0,-76.0,-79.0,-71.0,2
-56.0,-71.0,-66.0,-79.0,-71.0,2
-56.0,-84.0,-66.0,-79.0,-71.0,2
-56.0,-84.0,-66.0,-71.0,-71.0,2
-56.0,-84.0,-72.0,-71.0,-71.0,2
-56.0,-84.0,-72.0,-71.0,-75.0,2
-56.0,-70.0,-72.0,-71.0,-75.0,2
-56.0,-70.0,-72.0,-74.0,-75.0,2
-56.0,-70.0,-66.0,-74.0,-75.0,2
-56.0,-70.0,-66.0,-74.0,-66.0,2
-56.0,-70.0,-66.0,-68.0,-66.0,2
-56.0,-70.0,-77.0,-68.0,-66.0,2
-56.0,-70.0,-77.0,-68.0,-73.0,2
-56.0,-65.0,-77.0,-68.0,-73.0,2
-56.0,-65.0,-77.0,-75.0,-73.0,2
-56.0,-65.0,-72.0,-75.0,-73.0,2
-56.0,-65.0,-67.0,-75.0,-73.0,2
-56.0,-65.0,-67.0,-75.0,-71.0,2
-58.0,-66.0,-78.0,-65.0,-71.0,2
-67.0,-66.0,-78.0,-65.0,-71.0,2
-67.0,-66.0,-78.0,-69.0,-71.0,2
-67.0,-66.0,-78.0,-73.0,-71.0,2
-67.0,-66.0,-73.0,-73.0,-71.0,2
-67.0,-66.0,-73.0,-73.0,-73.0,2
-67.0,-72.0,-73.0,-73.0,-73.0,2
-56.0,-72.0,-73.0,-73.0,-73.0,2
-56.0,-72.0,-80.0,-73.0,-73.0,2
-56.0,-72.0,-80.0,-73.0,-75.0,2
-56.0,-65.0,-80.0,-73.0,-75.0,2
-69.0,-65.0,-80.0,-73.0,-75.0,2
-69.0,-65.0,-80.0,-70.0,-75.0,2
-69.0,-65.0,-66.0,-70.0,-75.0,2
-69.0,-65.0,-66.0,-70.0,-66.0,2
-56.0,-65.0,-78.0,-73.0,-74.0,2
-56.0,-65.0,-78.0,-65.0,-74.0,2
-56.0,-65.0,-72.0,-65.0,-74.0,2
-56.0,-65.0,-72.0,-65.0,-66.0,2
-56.0,-70.0,-72.0,-65.0,-66.0,2
-57.0,-70.0,-72.0,-65.0,-66.0,2
-57.0,-70.0,-72.0,-77.0,-66.0,2
-57.0,-70.0,-66.0,-77.0,-66.0,2
-57.0,-70.0,-66.0,-77.0,-70.0,2
-57.0,-85.0,-66.0,-77.0,-70.0,2
-57.0,-85.0,-66.0,-66.0,-70.0,2
-57.0,-85.0,-80.0,-66.0,-70.0,2
-57.0,-85.0,-80.0,-66.0,-67.0,2
-57.0,-73.0,-80.0,-66.0,-67.0,2
-56.0,-73.0,-80.0,-66.0,-67.0,2
-56.0,-73.0,-67.0,-66.0,-67.0,2
-56.0,-73.0,-67.0,-66.0,-70.0,2
-56.0,-82.0,-67.0,-66.0,-70.0,2
-56.0,-82.0,-77.0,-66.0,-70.0,2
-56.0,-82.0,-77.0,-66.0,-65.0,2
-56.0,-74.0,-77.0,-66.0,-65.0,2
-56.0,-74.0,-67.0,-66.0,-65.0,2
-56.0,-74.0,-67.0,-66.0,-72.0,2
-56.0,-74.0,-67.0,-81.0,-72.0,2
-56.0,-74.0,-74.0,-81.0,-72.0,2
-56.0,-74.0,-74.0,-81.0,-64.0,2
-56.0,-77.0,-74.0,-81.0,-64.0,2
-58.0,-77.0,-74.0,-81.0,-64.0,2
-58.0,-77.0,-74.0,-79.0,-64.0,2
-58.0,-77.0,-66.0,-79.0,-64.0,2
-58.0,-77.0,-66.0,-79.0,-69.0,2
-58.0,-70.0,-66.0,-79.0,-69.0,2
-58.0,-70.0,-71.0,-79.0,-69.0,2
-58.0,-77.0,-71.0,-79.0,-69.0,2
-57.0,-77.0,-71.0,-79.0,-69.0,2
-57.0,-77.0,-71.0,-74.0,-69.0,2
-57.0,-77.0,-67.0,-74.0,-69.0,2
-57.0,-72.0,-67.0,-74.0,-69.0,2
-57.0,-72.0,-67.0,-67.0,-69.0,2
-58.0,-72.0,-67.0,-67.0,-69.0,2
-58.0,-72.0,-67.0,-67.0,-68.0,2
-58.0,-72.0,-67.0,-80.0,-68.0,2
-56.0,-72.0,-67.0,-80.0,-68.0,2
-56.0,-72.0,-66.0,-80.0,-68.0,2
-56.0,-72.0,-66.0,-80.0,-71.0,2
-56.0,-67.0,-66.0,-80.0,-71.0,2
-56.0,-67.0,-66.0,-64.0,-71.0,2
-56.0,-67.0,-77.0,-64.0,-71.0,2
-56.0,-67.0,-77.0,-64.0,-68.0,2
-56.0,-78.0,-77.0,-64.0,-68.0,2
-56.0,-78.0,-77.0,-76.0,-68.0,2
-67.0,-78.0,-77.0,-76.0,-68.0,2
-67.0,-78.0,-73.0,-76.0,-68.0,2
-67.0,-78.0,-66.0,-76.0,-68.0,2
-67.0,-78.0,-66.0,-76.0,-76.0,2
-67.0,-65.0,-66.0,-76.0,-76.0,2
-67.0,-65.0,-66.0,-64.0,-76.0,2
-54.0,-65.0,-66.0,-64.0,-76.0,2
-54.0,-65.0,-75.0,-64.0,-76.0,2
-54.0,-65.0,-75.0,-64.0,-71.0,2
-54.0,-70.0,-75.0,-64.0,-71.0,2
-54.0,-70.0,-75.0,-76.0,-71.0,2
-54.0,-69.0,-75.0,-76.0,-71.0,2
-54.0,-69.0,-75.0,-66.0,-71.0,2
-56.0,-69.0,-75.0,-66.0,-71.0,2
-66.0,-67.0,-67.0,-72.0,-69.0,2
-66.0,-67.0,-67.0,-69.0,-69.0,2
-58.0,-67.0,-67.0,-69.0,-69.0,2
-58.0,-67.0,-73.0,-69.0,-69.0,2
-58.0,-67.0,-73.0,-69.0,-75.0,2
-58.0,-66.0,-73.0,-69.0,-75.0,2
-58.0,-66.0,-73.0,-68.0,-75.0,2
-58.0,-66.0,-73.0,-68.0,-70.0,2
-58.0,-70.0,-73.0,-68.0,-70.0,2
-58.0,-70.0,-73.0,-70.0,-70.0,2
-56.0,-70.0,-73.0,-70.0,-70.0,2
-56.0,-70.0,-76.0,-70.0,-70.0,2
-56.0,-70.0,-76.0,-70.0,-64.0,2
-56.0,-68.0,-76.0,-70.0,-64.0,2
-56.0,-68.0,-76.0,-69.0,-64.0,2
-65.0,-68.0,-76.0,-69.0,-64.0,2
-65.0,-68.0,-76.0,-69.0,-72.0,2
-65.0,-84.0,-76.0,-69.0,-72.0,2
-65.0,-84.0,-76.0,-68.0,-72.0,2
-58.0,-84.0,-76.0,-68.0,-72.0,2
-58.0,-84.0,-67.0,-68.0,-72.0,2
-58.0,-84.0,-67.0,-68.0,-64.0,2
-58.0,-71.0,-67.0,-68.0,-64.0,2
-64.0,-71.0,-67.0,-68.0,-64.0,2
-64.0,-71.0,-67.0,-69.0,-64.0,2
-64.0,-71.0,-78.0,-69.0,-64.0,2
-58.0,-71.0,-78.0,-69.0,-64.0,2
-58.0,-68.0,-78.0,-69.0,-64.0,2
-58.0,-68.0,-78.0,-69.0,-65.0,2
-58.0,-68.0,-78.0,-72.0,-65.0,2
-58.0,-68.0,-77.0,-72.0,-65.0,2
-58.0,-68.0,-77.0,-72.0,-81.0,2
-58.0,-80.0,-77.0,-72.0,-81.0,2
-58.0,-80.0,-77.0,-69.0,-81.0,2
-66.0,-80.0,-77.0,-69.0,-81.0,2
-66.0,-80.0,-74.0,-69.0,-81.0,2
-66.0,-80.0,-74.0,-69.0,-65.0,2
-66.0,-80.0,-74.0,-69.0,-67.0,2
-66.0,-80.0,-74.0,-67.0,-67.0,2
-54.0,-80.0,-74.0,-67.0,-67.0,2
-58.0,-79.0,-69.0,-78.0,-81.0,2
-58.0,-66.0,-69.0,-78.0,-81.0,2
-60.0,-66.0,-69.0,-78.0,-81.0,2
-60.0,-66.0,-77.0,-78.0,-81.0,2
-60.0,-76.0,-77.0,-78.0,-81.0,2
-60.0,-76.0,-77.0,-78.0,-70.0,2
-57.0,-76.0,-77.0,-78.0,-70.0,2
-57.0,-76.0,-77.0,-67.0,-70.0,2
-57.0,-76.0,-77.0,-67.0,-64.0,2
-57.0,-64.0,-77.0,-67.0,-64.0,2
-58.0,-64.0,-77.0,-67.0,-64.0,2
-58.0,-64.0,-77.0,-63.0,-64.0,2
-58.0,-64.0,-81.0,-63.0,-64.0,2
-58.0,-64.0,-78.0,-63.0,-64.0,2
-58.0,-64.0,-78.0,-63.0,-76.0,2
-58.0,-74.0,-78.0,-63.0,-76.0,2
